6;vns_0;vns_3;vns_5;vns_7;vns_10;vns_15;
inst0;236643.294746;238137.396385;239503.160585;239848.676467;239732.221777;239848.676467;
inst1;249039.843779;248613.909326;248207.626323;250452.513779;250001.145405;251251.867910;
inst2;242845.184299;242429.697417;243508.843472;243568.557413;244459.928945;244054.957211;
inst3;242589.846675;242593.892100;242715.339862;242785.493766;242998.160175;242998.160175;
inst4;243873.112077;245701.434235;246040.683961;245304.306916;246236.279467;246236.279467;
inst5;239342.682995;241556.608878;240456.288595;240613.106657;241875.157859;243234.829261;
inst6;242140.937929;243157.191046;244577.631455;244247.231210;244433.719047;244577.631455;
inst7;245704.227367;245581.904915;246156.460833;243837.574834;245875.514606;245742.207073;
inst8;243061.578458;241542.199276;244138.190847;245051.255477;243539.007541;243731.169344;
inst9;242287.354247;241380.276854;242945.487919;244287.837415;244264.599987;244287.837415;
inst10;247139.946193;245351.906108;246811.762919;247443.341537;247443.341537;248428.470623;
inst11;241694.757744;243770.257579;244228.322035;243817.860250;244228.322035;244228.322035;
inst12;244606.279492;243981.458033;244808.936030;245210.060546;246864.742125;246183.136339;
inst13;239418.776137;240348.159340;241500.347452;241344.427848;241892.095240;242578.129169;
inst14;241810.127596;239208.697394;240838.527456;243443.192794;241635.890493;243634.516858;
inst15;237452.470625;239815.566672;237952.651804;239229.364308;240067.173790;239203.360824;
inst16;246255.768506;245699.550831;245595.640846;245433.053160;245705.176016;246384.976635;
inst17;244179.839506;243608.014272;244564.549615;244795.275186;246450.318004;246811.058260;
inst18;239928.117160;239985.175820;240169.141017;240897.479877;241104.883801;242288.709735;
inst19;242162.954145;239907.689728;241562.757589;240993.980626;242644.405081;243114.442160;
